Date,Volume,Name
2020-02-21,129.70568,AAPL
2020-02-20,100.56596,AAPL
2020-02-19,93.98396,AAPL
2020-02-18,152.7622,AAPL
2020-02-14,80.1138,AAPL
2020-02-13,94.74756,AAPL
2020-02-12,113.73028,AAPL
2020-02-11,94.32312,AAPL
2020-02-10,109.34888,AAPL
2020-02-07,117.68404,AAPL
2020-02-06,105.42556,AAPL
2020-02-05,118.82688,AAPL
2020-02-04,136.61652,AAPL
2020-02-03,173.9856,AAPL
2020-01-31,199.5884,AAPL
2020-01-30,126.74324,AAPL
2020-01-29,216.59972,AAPL
2020-01-28,162.23396,AAPL
2020-01-27,161.94004,AAPL
2020-01-24,146.53752,AAPL
2020-01-23,104.47196,AAPL
2020-01-22,101.83248,AAPL
2020-01-21,110.84324,AAPL
2020-01-17,137.81648,AAPL
2020-01-16,108.829,AAPL
2020-01-15,121.92352,AAPL
2020-01-14,162.61384,AAPL
2020-01-13,122.08688,AAPL
2020-01-10,140.86908,AAPL
2020-01-09,170.48616,AAPL
2020-01-08,132.3638,AAPL
2020-01-07,111.51064,AAPL
2020-01-06,118.57856,AAPL
2020-01-03,146.53552,AAPL
2020-01-02,135.64744,AAPL
